<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20100301,000000,168.70000,170.71000,166.33000,168.20000,58511166
GAZP,D,20100302,000000,167.98000,171.21000,167.26000,169.51000,50287139
GAZP,D,20100303,000000,168.89000,171.10000,167.12000,170.10000,50211947
GAZP,D,20100304,000000,169.04000,174.44000,168.37000,172.27000,72166688
GAZP,D,20100305,000000,174.06000,177.56000,173.76000,176.80000,90368301
GAZP,D,20100309,000000,176.62000,178.09000,174.34000,175.47000,58860930
GAZP,D,20100310,000000,174.80000,177.71000,172.65000,173.77000,64130850
GAZP,D,20100311,000000,173.01000,174.69000,170.40000,170.62000,49240452
GAZP,D,20100312,000000,172.40000,174.70000,171.47000,172.71000,58569566
GAZP,D,20100315,000000,171.60000,172.70000,168.91000,169.27000,45483972
GAZP,D,20100316,000000,169.95000,171.98000,169.53000,171.35000,40957005
GAZP,D,20100317,000000,173.02000,174.22000,170.69000,171.94000,58350355
GAZP,D,20100318,000000,171.20000,173.29000,170.35000,170.60000,46455714
GAZP,D,20100319,000000,171.01000,171.97000,166.39000,167.06000,60944936
GAZP,D,20100322,000000,166.32000,169.64000,164.89000,169.29000,68271396
GAZP,D,20100323,000000,170.02000,170.33000,165.96000,167.60000,58209362
GAZP,D,20100324,000000,168.00000,168.96000,164.72000,164.85000,54015845
GAZP,D,20100325,000000,165.00000,166.00000,160.11000,162.30000,95035318
GAZP,D,20100326,000000,161.90000,162.74000,159.49000,161.10000,79313075
GAZP,D,20100329,000000,160.95000,165.14000,160.01000,164.55000,57981050
GAZP,D,20100330,000000,165.38000,170.67000,165.20000,170.44000,105989776
GAZP,D,20100331,000000,170.00000,173.86000,169.51000,171.50000,96441019
GAZP,D,20100401,000000,172.46000,176.14000,172.33000,175.00000,94908340
GAZP,D,20100402,000000,176.15000,176.70000,173.11000,175.34000,46522737
GAZP,D,20100405,000000,176.37000,176.55000,173.87000,175.88000,29090638
GAZP,D,20100406,000000,175.51000,178.83000,174.12000,177.10000,107075008
GAZP,D,20100407,000000,177.49000,178.04000,174.75000,174.99000,59478100
GAZP,D,20100408,000000,174.01000,176.99000,172.76000,174.54000,67325864
GAZP,D,20100409,000000,175.98000,176.63000,174.04000,175.15000,55841194
GAZP,D,20100412,000000,176.16000,177.48000,174.18000,175.93000,50074436
GAZP,D,20100413,000000,174.70000,175.92000,173.75000,174.30000,42538315
GAZP,D,20100414,000000,175.57000,181.61000,175.04000,181.40000,103449718
GAZP,D,20100415,000000,182.80000,185.22000,181.45000,185.16000,123009078
GAZP,D,20100416,000000,182.99000,183.86000,179.61000,179.99000,70700047
GAZP,D,20100419,000000,177.00000,177.10000,173.30000,174.51000,84129689
GAZP,D,20100420,000000,175.74000,176.90000,174.30000,175.15000,63843580
GAZP,D,20100421,000000,175.99000,176.75000,171.25000,173.09000,68848602
GAZP,D,20100422,000000,172.25000,175.50000,169.67000,170.70000,73358011
GAZP,D,20100423,000000,171.52000,175.05000,170.85000,175.00000,63994764
GAZP,D,20100426,000000,176.90000,178.68000,175.96000,177.99000,58579972
GAZP,D,20100427,000000,176.69000,176.89000,173.68000,175.60000,49939901
GAZP,D,20100428,000000,171.60000,173.50000,169.85000,170.56000,83968624
GAZP,D,20100429,000000,171.77000,175.40000,171.27000,174.50000,71814184
GAZP,D,20100430,000000,175.10000,175.17000,169.93000,170.00000,55733699
GAZP,D,20100504,000000,171.44000,172.20000,163.98000,164.23000,59163748
GAZP,D,20100505,000000,164.00000,166.50000,161.75000,164.20000,68578527
GAZP,D,20100506,000000,162.98000,167.20000,162.71000,163.79000,64102854
GAZP,D,20100507,000000,160.10000,162.23000,153.50000,155.00000,85190663
GAZP,D,20100511,000000,159.90000,161.90000,157.62000,160.09000,59694316
GAZP,D,20100512,000000,159.49000,166.70000,158.76000,166.07000,70356252
GAZP,D,20100513,000000,166.99000,168.40000,160.89000,162.90000,64735522
GAZP,D,20100514,000000,161.27000,162.84000,158.63000,159.86000,50588094
GAZP,D,20100517,000000,156.88000,162.67000,156.35000,161.38000,66817017
GAZP,D,20100518,000000,162.11000,164.11000,160.01000,163.28000,56102053
GAZP,D,20100519,000000,159.80000,160.57000,156.00000,157.81000,64919897
GAZP,D,20100520,000000,157.73000,160.00000,150.12000,151.05000,79934916
GAZP,D,20100521,000000,151.05000,153.03000,146.75000,150.00000,95733911
GAZP,D,20100524,000000,151.98000,152.99000,147.33000,151.00000,58607267
GAZP,D,20100525,000000,145.77000,147.59000,142.09000,143.00000,70253198
GAZP,D,20100526,000000,145.78000,159.20000,144.61000,158.44000,118146806
GAZP,D,20100527,000000,157.99000,159.72000,153.77000,158.46000,97977981
GAZP,D,20100528,000000,159.17000,159.71000,154.70000,157.88000,72635953
GAZP,D,20100531,000000,157.51000,160.40000,156.61000,159.84000,32960892
GAZP,D,20100601,000000,158.19000,160.31000,154.39000,159.26000,66892664
GAZP,D,20100602,000000,157.21000,164.70000,156.61000,163.80000,87316760
GAZP,D,20100603,000000,166.47000,168.19000,164.68000,164.98000,74433310
GAZP,D,20100604,000000,166.10000,167.91000,161.10000,163.00000,82878818
GAZP,D,20100607,000000,158.19000,161.41000,157.55000,160.59000,60811369
GAZP,D,20100608,000000,161.50000,163.47000,157.01000,157.37000,72999094
GAZP,D,20100609,000000,159.00000,160.60000,157.53000,158.20000,53105224
GAZP,D,20100610,000000,159.15000,159.19000,155.75000,157.79000,64457880
GAZP,D,20100611,000000,158.79000,158.85000,154.90000,156.44000,41808418
GAZP,D,20100615,000000,157.19000,159.78000,156.28000,159.71000,44398281
GAZP,D,20100616,000000,161.00000,161.20000,157.30000,158.80000,47951057
GAZP,D,20100617,000000,158.45000,160.79000,156.39000,156.60000,58676660
GAZP,D,20100618,000000,157.12000,159.49000,156.10000,159.40000,49962438
GAZP,D,20100621,000000,161.76000,163.73000,161.34000,162.88000,48132216
GAZP,D,20100622,000000,161.20000,162.12000,158.70000,159.44000,42072405
GAZP,D,20100623,000000,158.01000,159.58000,157.03000,158.11000,33095432
GAZP,D,20100624,000000,159.00000,159.33000,154.20000,154.70000,45620364
GAZP,D,20100625,000000,154.41000,156.40000,151.75000,152.00000,44315718
GAZP,D,20100628,000000,153.00000,155.81000,152.20000,154.00000,34352316
GAZP,D,20100629,000000,152.13000,152.13000,149.00000,149.85000,41694402
GAZP,D,20100630,000000,149.97000,151.27000,147.03000,149.10000,43550045
GAZP,D,20100701,000000,146.98000,147.77000,143.04000,143.20000,50024329
GAZP,D,20100702,000000,144.80000,148.27000,144.05000,148.25000,41703480
GAZP,D,20100705,000000,147.95000,149.85000,146.85000,148.05000,22976578
GAZP,D,20100706,000000,149.47000,152.70000,148.95000,152.38000,35954278
GAZP,D,20100707,000000,150.66000,153.68000,148.35000,153.47000,43947848
GAZP,D,20100708,000000,154.71000,155.16000,151.70000,151.97000,42110722
GAZP,D,20100709,000000,153.03000,154.51000,150.88000,154.20000,32115196
GAZP,D,20100712,000000,153.68000,157.60000,152.72000,156.13000,41361096
GAZP,D,20100713,000000,155.80000,160.44000,155.10000,159.03000,55370167
GAZP,D,20100714,000000,160.23000,160.85000,157.00000,158.12000,38419687
GAZP,D,20100715,000000,157.89000,161.09000,156.59000,157.10000,50880075
GAZP,D,20100716,000000,157.57000,159.11000,155.15000,155.19000,40559607
GAZP,D,20100719,000000,155.09000,158.27000,154.09000,156.69000,33708371
GAZP,D,20100720,000000,157.69000,158.75000,154.26000,155.47000,35675136
GAZP,D,20100721,000000,156.86000,159.74000,156.40000,158.25000,47566305
GAZP,D,20100722,000000,157.20000,162.44000,157.03000,162.30000,49516607
GAZP,D,20100723,000000,162.50000,162.94000,160.02000,160.90000,37691958
GAZP,D,20100726,000000,162.49000,162.86000,161.00000,162.13000,28755306
GAZP,D,20100727,000000,162.10000,165.24000,161.47000,164.30000,52766610
GAZP,D,20100728,000000,164.80000,165.40000,161.61000,161.79000,38800634
GAZP,D,20100729,000000,162.32000,167.00000,161.73000,165.50000,47328215
GAZP,D,20100730,000000,164.50000,165.09000,160.13000,162.85000,48418713
GAZP,D,20100802,000000,163.99000,169.51000,163.99000,168.99000,53399936
GAZP,D,20100803,000000,169.48000,169.50000,165.05000,165.92000,45622801
GAZP,D,20100804,000000,165.65000,169.35000,163.66000,167.04000,60207530
GAZP,D,20100805,000000,167.55000,169.23000,165.55000,166.95000,53599329
GAZP,D,20100806,000000,167.61000,169.00000,165.26000,166.88000,43944735
GAZP,D,20100809,000000,167.74000,170.64000,167.73000,169.61000,51448076
GAZP,D,20100810,000000,168.78000,169.29000,165.60000,166.53000,49678565
GAZP,D,20100811,000000,165.14000,165.50000,162.09000,162.30000,42790737
GAZP,D,20100812,000000,161.85000,163.48000,160.15000,162.43000,42780897
